unicode,latex
022D8,"\verymuchless"
022D9,"\verymuchgreater"
022DA,"\lesseqgtr"
022DB,"\gtreqless"
022DE,"\curlyeqprec"
022DF,"\curlyeqsucc"
022E2,"\not\sqsubseteq"
022E3,"\not\sqsupseteq"
022E5,"\Elzsqspne"
022E6,"\lnsim"
022E7,"\gnsim"
022E8,"\precedesnotsimilar"
022E9,"\succnsim"
022EA,"\ntriangleleft"
022EB,"\ntriangleright"
022EC,"\ntrianglelefteq"
022ED,"\ntrianglerighteq"
022EE,"\vdots"
022EF,"\cdots"
022F0,"\upslopeellipsis"
022F1,"\downslopeellipsis"
02305,"\barwedge"
02306,"\varperspcorrespond"
02308,"\lceil"
02309,"\rceil"
0230A,"\lfloor"
0230B,"\rfloor"
02315,"\recorder"
02316,"\mathchar""2208"
0231C,"\ulcorner"
0231D,"\urcorner"
0231E,"\llcorner"
0231F,"\lrcorner"
02322,"\frown"
02323,"\smile"
0233D,"\ElsevierGlyph{E838}"
023A3,"\Elzdlcorn"
023B0,"\lmoustache"
023B1,"\rmoustache"
02423,"\textvisiblespace"
02460,"\ding{172}"
02461,"\ding{173}"
02462,"\ding{174}"
02463,"\ding{175}"
02464,"\ding{176}"
02465,"\ding{177}"
02466,"\ding{178}"
02467,"\ding{179}"
02468,"\ding{180}"
02469,"\ding{181}"
024C8,"\circledS"
02506,"\Elzdshfnc"
02519,"\Elzsqfnw"
02571,"\diagup"
025A0,"\ding{110}"
025A1,"\square"
025AA,"\blacksquare"
025AD,"\fbox{~~}"
025AF,"\Elzvrecto"
025B1,"\ElsevierGlyph{E381}"
025B2,"\ding{115}"
025B3,"\bigtriangleup"
025B4,"\blacktriangle"
025B5,"\vartriangle"
025B8,"\blacktriangleright"
025B9,"\triangleright"
025BC,"\ding{116}"
025BD,"\bigtriangledown"
025BE,"\blacktriangledown"
025BF,"\triangledown"
025C2,"\blacktriangleleft"
025C3,"\triangleleft"
025C6,"\ding{117}"
025CA,"\lozenge"
025CB,"\bigcirc"
025CF,"\ding{108}"
025D0,"\Elzcirfl"
025D1,"\Elzcirfr"
025D2,"\Elzcirfb"
025D7,"\ding{119}"
025D8,"\Elzrvbull"
025E7,"\Elzsqfl"
025E8,"\Elzsqfr"
025EA,"\Elzsqfse"
025EF,"\bigcirc"
02605,"\ding{72}"
02606,"\ding{73}"
0260E,"\ding{37}"
0261B,"\ding{42}"
0261E,"\ding{43}"
0263E,"\rightmoon"
0263F,"\mercury"
02640,"\venus"
02642,"\male"
02643,"\jupiter"
02644,"\saturn"
02645,"\uranus"
02646,"\neptune"
02647,"\pluto"
02648,"\aries"
02649,"\taurus"
0264A,"\gemini"
0264B,"\cancer"
0264C,"\leo"
0264D,"\virgo"
0264E,"\libra"
0264F,"\scorpio"
02650,"\sagittarius"
02651,"\capricornus"
02652,"\aquarius"
02653,"\pisces"
02660,"\ding{171}"
02662,"\diamond"
02663,"\ding{168}"
02665,"\ding{170}"
02666,"\ding{169}"
02669,"\quarternote"
0266A,"\eighthnote"
0266D,"\flat"
0266E,"\natural"
0266F,"\sharp"
02701,"\ding{33}"
02702,"\ding{34}"
02703,"\ding{35}"
02704,"\ding{36}"
02706,"\ding{38}"
02707,"\ding{39}"
02708,"\ding{40}"
02709,"\ding{41}"
0270C,"\ding{44}"
0270D,"\ding{45}"
0270E,"\ding{46}"
0270F,"\ding{47}"
02710,"\ding{48}"
02711,"\ding{49}"
02712,"\ding{50}"
02713,"\ding{51}"
02714,"\ding{52}"
02715,"\ding{53}"
02716,"\ding{54}"
02717,"\ding{55}"
02718,"\ding{56}"
02719,"\ding{57}"
0271A,"\ding{58}"
0271B,"\ding{59}"
0271C,"\ding{60}"
0271D,"\ding{61}"
0271E,"\ding{62}"
0271F,"\ding{63}"
02720,"\ding{64}"
02721,"\ding{65}"
02722,"\ding{66}"
02723,"\ding{67}"
02724,"\ding{68}"
02725,"\ding{69}"
02726,"\ding{70}"
02727,"\ding{71}"
02729,"\ding{73}"
0272A,"\ding{74}"
0272B,"\ding{75}"
0272C,"\ding{76}"
0272D,"\ding{77}"
0272E,"\ding{78}"
0272F,"\ding{79}"
02730,"\ding{80}"
02731,"\ding{81}"
02732,"\ding{82}"
02733,"\ding{83}"
02734,"\ding{84}"
02735,"\ding{85}"
02736,"\ding{86}"
02737,"\ding{87}"
02738,"\ding{88}"
02739,"\ding{89}"
0273A,"\ding{90}"
0273B,"\ding{91}"
0273C,"\ding{92}"
0273D,"\ding{93}"
0273E,"\ding{94}"
0273F,"\ding{95}"
02740,"\ding{96}"
02741,"\ding{97}"
02742,"\ding{98}"
02743,"\ding{99}"
02744,"\ding{100}"
02745,"\ding{101}"
02746,"\ding{102}"
02747,"\ding{103}"
02748,"\ding{104}"
02749,"\ding{105}"
0274A,"\ding{106}"
0274B,"\ding{107}"
0274D,"\ding{109}"
0274F,"\ding{111}"
02750,"\ding{112}"
02751,"\ding{113}"
02752,"\ding{114}"
02756,"\ding{118}"
02758,"\ding{120}"
02759,"\ding{121}"
0275A,"\ding{122}"
0275B,"\ding{123}"
0275C,"\ding{124}"
0275D,"\ding{125}"
0275E,"\ding{126}"
02761,"\ding{161}"
02762,"\ding{162}"
02763,"\ding{163}"
02764,"\ding{164}"
02765,"\ding{165}"
02766,"\ding{166}"
02767,"\ding{167}"
02776,"\ding{182}"
02777,"\ding{183}"
02778,"\ding{184}"
02779,"\ding{185}"
0277A,"\ding{186}"
0277B,"\ding{187}"
0277C,"\ding{188}"
0277D,"\ding{189}"
0277E,"\ding{190}"
0277F,"\ding{191}"
02780,"\ding{192}"
02781,"\ding{193}"
02782,"\ding{194}"
02783,"\ding{195}"
02784,"\ding{196}"
02785,"\ding{197}"
02786,"\ding{198}"
02787,"\ding{199}"
02788,"\ding{200}"
02789,"\ding{201}"
0278A,"\ding{202}"
0278B,"\ding{203}"
0278C,"\ding{204}"
0278D,"\ding{205}"
0278E,"\ding{206}"
0278F,"\ding{207}"
02790,"\ding{208}"
02791,"\ding{209}"
02792,"\ding{210}"
02793,"\ding{211}"
02794,"\ding{212}"
02798,"\ding{216}"
02799,"\ding{217}"
0279A,"\ding{218}"
0279B,"\ding{219}"
0279C,"\ding{220}"
0279D,"\ding{221}"
0279E,"\ding{222}"
0279F,"\ding{223}"
027A0,"\ding{224}"
027A1,"\ding{225}"
027A2,"\ding{226}"
027A3,"\ding{227}"
027A4,"\ding{228}"
027A5,"\ding{229}"
027A6,"\ding{230}"
027A7,"\ding{231}"
027A8,"\ding{232}"
027A9,"\ding{233}"
027AA,"\ding{234}"
027AB,"\ding{235}"
027AC,"\ding{236}"
027AD,"\ding{237}"
027AE,"\ding{238}"
027AF,"\ding{239}"
027B1,"\ding{241}"
027B2,"\ding{242}"
027B3,"\ding{243}"
027B4,"\ding{244}"
027B5,"\ding{245}"
027B6,"\ding{246}"
027B7,"\ding{247}"
027B8,"\ding{248}"
027B9,"\ding{249}"
027BA,"\ding{250}"
027BB,"\ding{251}"
027BC,"\ding{252}"
027BD,"\ding{253}"
027BE,"\ding{254}"
027E8,"\langle"
027E9,"\rangle"
027F5,"\longleftarrow"
027F6,"\longrightarrow"
027F7,"\longleftrightarrow"
027F8,"\Longleftarrow"
027F9,"\Longrightarrow"
027FA,"\Longleftrightarrow"
027FC,"\longmapsto"
027FF,"\sim\joinrel\leadsto"
02905,"\ElsevierGlyph{E212}"
02912,"\UpArrowBar"
02913,"\DownArrowBar"
02923,"\ElsevierGlyph{E20C}"
02924,"\ElsevierGlyph{E20D}"
02925,"\ElsevierGlyph{E20B}"
02926,"\ElsevierGlyph{E20A}"
02927,"\ElsevierGlyph{E211}"
02928,"\ElsevierGlyph{E20E}"
02929,"\ElsevierGlyph{E20F}"
0292A,"\ElsevierGlyph{E210}"
02933,"\ElsevierGlyph{E21C}"
02936,"\ElsevierGlyph{E21A}"
02937,"\ElsevierGlyph{E219}"
02940,"\Elolarr"
02941,"\Elorarr"
02942,"\ElzRlarr"
02944,"\ElzrLarr"
02947,"\Elzrarrx"
0294E,"\LeftRightVector"
0294F,"\RightUpDownVector"
02950,"\DownLeftRightVector"
02951,"\LeftUpDownVector"
02952,"\LeftVectorBar"
02953,"\RightVectorBar"
02954,"\RightUpVectorBar"
02955,"\RightDownVectorBar"
02956,"\DownLeftVectorBar"
02957,"\DownRightVectorBar"
02958,"\LeftUpVectorBar"
02959,"\LeftDownVectorBar"
0295A,"\LeftTeeVector"
0295B,"\RightTeeVector"
0295C,"\RightUpTeeVector"
0295D,"\RightDownTeeVector"
0295E,"\DownLeftTeeVector"
0295F,"\DownRightTeeVector"
02960,"\LeftUpTeeVector"
02961,"\LeftDownTeeVector"
0296E,"\UpEquilibrium"
0296F,"\ReverseUpEquilibrium"
02970,"\RoundImplies"
0297C,"\ElsevierGlyph{E214}"
0297D,"\ElsevierGlyph{E215}"
02980,"\Elztfnc"
02985,"\ElsevierGlyph{3018}"
02986,"\Elroang"
02993,"<\kern-0.58em("
02994,"\ElsevierGlyph{E291}"
02999,"\Elzddfnc"
0299C,"\Angle"
029A0,"\Elzlpargt"
029B5,"\ElsevierGlyph{E260}"
029B6,"\ElsevierGlyph{E61B}"
029CA,"\ElzLap"
029CB,"\Elzdefas"
029CF,"\LeftTriangleBar"
029D0,"\RightTriangleBar"
029DC,"\ElsevierGlyph{E372}"
029EB,"\blacklozenge"
029F4,"\RuleDelayed"
02A04,"\Elxuplus"
02A05,"\ElzThr"
02A06,"\Elxsqcup"
02A07,"\ElzInf"
02A08,"\ElzSup"
02A0D,"\ElzCint"
02A0F,"\clockoint"
02A10,"\ElsevierGlyph{E395}"
02A16,"\sqrint"
02A25,"\ElsevierGlyph{E25A}"
02A2A,"\ElsevierGlyph{E25B}"
02A2D,"\ElsevierGlyph{E25C}"
02A2E,"\ElsevierGlyph{E25D}"
02A2F,"\ElzTimes"
02A34,"\ElsevierGlyph{E25E}"
02A35,"\ElsevierGlyph{E25E}"
02A3C,"\ElsevierGlyph{E259}"
02A3F,"\amalg"
02A53,"\ElzAnd"
02A54,"\ElzOr"
02A55,"\ElsevierGlyph{E36E}"
02A56,"\ElOr"
02A5E,"\perspcorrespond"
02A5F,"\Elzminhat"
02A63,"\ElsevierGlyph{225A}"
02A6E,"\stackrel{*}{=}"
02A75,"\Equal"
02A7D,"\leqslant"
02A7E,"\geqslant"
02A85,"\lessapprox"
02A86,"\gtrapprox"
02A87,"\lneq"
02A88,"\gneq"
02A89,"\lnapprox"
02A8A,"\gnapprox"
02A8B,"\lesseqqgtr"
02A8C,"\gtreqqless"
02A95,"\eqslantless"
02A96,"\eqslantgtr"
02A9D,"\Pisymbol{ppi020}{117}"
02A9E,"\Pisymbol{ppi020}{105}"
02AA1,"\NestedLessLess"
02AA2,"\NestedGreaterGreater"
02AAF,"\preceq"
02AB0,"\succeq"
02AB5,"\precneqq"
02AB6,"\succneqq"
02AB7,"\precapprox"
02AB8,"\succapprox"
02AB9,"\precnapprox"
02ABA,"\succnapprox"
02AC5,"\subseteqq"
02AC6,"\supseteqq"
02ACB,"\subsetneqq"
02ACC,"\supsetneqq"
02AEB,"\ElsevierGlyph{E30D}"
02AF6,"\Elztdcol"
02AFD,"{{/}\!\!{/}}"
0300A,"\ElsevierGlyph{300A}"
0300B,"\ElsevierGlyph{300B}"
03018,"\ElsevierGlyph{3018}"
03019,"\ElsevierGlyph{3019}"
0301A,"\openbracketleft"
0301B,"\openbracketright"
0FB00,"ff"
0FB01,"fi"
0FB02,"fl"
0FB03,"ffi"
0FB04,"ffl"
1D400,"\mathbf{A}"
1D401,"\mathbf{B}"
1D402,"\mathbf{C}"
1D403,"\mathbf{D}"
1D404,"\mathbf{E}"
1D405,"\mathbf{F}"
1D406,"\mathbf{G}"
1D407,"\mathbf{H}"
1D408,"\mathbf{I}"
1D409,"\mathbf{J}"
1D40A,"\mathbf{K}"
1D40B,"\mathbf{L}"
1D40C,"\mathbf{M}"
1D40D,"\mathbf{N}"
1D40E,"\mathbf{O}"
1D40F,"\mathbf{P}"
1D410,"\mathbf{Q}"
1D411,"\mathbf{R}"
1D412,"\mathbf{S}"
1D413,"\mathbf{T}"
1D414,"\mathbf{U}"
1D415,"\mathbf{V}"
1D416,"\mathbf{W}"
1D417,"\mathbf{X}"
1D418,"\mathbf{Y}"
1D419,"\mathbf{Z}"
1D41A,"\mathbf{a}"
1D41B,"\mathbf{b}"
1D41C,"\mathbf{c}"
1D41D,"\mathbf{d}"
1D41E,"\mathbf{e}"
1D41F,"\mathbf{f}"
1D420,"\mathbf{g}"
1D421,"\mathbf{h}"
1D422,"\mathbf{i}"
1D423,"\mathbf{j}"
1D424,"\mathbf{k}"
1D425,"\mathbf{l}"
1D426,"\mathbf{m}"
1D427,"\mathbf{n}"
1D428,"\mathbf{o}"
1D429,"\mathbf{p}"
1D42A,"\mathbf{q}"
1D42B,"\mathbf{r}"
1D42C,"\mathbf{s}"
1D42D,"\mathbf{t}"
1D42E,"\mathbf{u}"
1D42F,"\mathbf{v}"
1D430,"\mathbf{w}"
1D431,"\mathbf{x}"
1D432,"\mathbf{y}"
1D433,"\mathbf{z}"
1D434,"\mathmit{A}"
1D435,"\mathmit{B}"
1D436,"\mathmit{C}"
1D437,"\mathmit{D}"
1D438,"\mathmit{E}"
1D439,"\mathmit{F}"
1D43A,"\mathmit{G}"
1D43B,"\mathmit{H}"
1D43C,"\mathmit{I}"
1D43D,"\mathmit{J}"
1D43E,"\mathmit{K}"
1D43F,"\mathmit{L}"
1D440,"\mathmit{M}"
1D441,"\mathmit{N}"
1D442,"\mathmit{O}"
1D443,"\mathmit{P}"
1D444,"\mathmit{Q}"
1D445,"\mathmit{R}"
1D446,"\mathmit{S}"
1D447,"\mathmit{T}"
1D448,"\mathmit{U}"
1D449,"\mathmit{V}"
1D44A,"\mathmit{W}"
1D44B,"\mathmit{X}"
1D44C,"\mathmit{Y}"
1D44D,"\mathmit{Z}"
1D44E,"\mathmit{a}"
1D44F,"\mathmit{b}"
1D450,"\mathmit{c}"
1D451,"\mathmit{d}"
1D452,"\mathmit{e}"
1D453,"\mathmit{f}"
1D454,"\mathmit{g}"
1D456,"\mathmit{i}"
1D457,"\mathmit{j}"
1D458,"\mathmit{k}"
1D459,"\mathmit{l}"
1D45A,"\mathmit{m}"
1D45B,"\mathmit{n}"
1D45C,"\mathmit{o}"
1D45D,"\mathmit{p}"
1D45E,"\mathmit{q}"
1D45F,"\mathmit{r}"
1D460,"\mathmit{s}"
1D461,"\mathmit{t}"
1D462,"\mathmit{u}"
1D463,"\mathmit{v}"
1D464,"\mathmit{w}"
1D465,"\mathmit{x}"
1D466,"\mathmit{y}"
1D467,"\mathmit{z}"
1D468,"\mathbit{A}"
1D469,"\mathbit{B}"
1D46A,"\mathbit{C}"
1D46B,"\mathbit{D}"
1D46C,"\mathbit{E}"
1D46D,"\mathbit{F}"
1D46E,"\mathbit{G}"
1D46F,"\mathbit{H}"
1D470,"\mathbit{I}"
1D471,"\mathbit{J}"
1D472,"\mathbit{K}"
1D473,"\mathbit{L}"
1D474,"\mathbit{M}"
1D475,"\mathbit{N}"
1D476,"\mathbit{O}"
1D477,"\mathbit{P}"
1D478,"\mathbit{Q}"
1D479,"\mathbit{R}"
1D47A,"\mathbit{S}"
1D47B,"\mathbit{T}"
1D47C,"\mathbit{U}"
1D47D,"\mathbit{V}"
1D47E,"\mathbit{W}"
1D47F,"\mathbit{X}"
1D480,"\mathbit{Y}"
1D481,"\mathbit{Z}"
1D482,"\mathbit{a}"
1D483,"\mathbit{b}"
1D484,"\mathbit{c}"
1D485,"\mathbit{d}"
1D486,"\mathbit{e}"
1D487,"\mathbit{f}"
1D488,"\mathbit{g}"
1D489,"\mathbit{h}"
1D48A,"\mathbit{i}"
1D48B,"\mathbit{j}"
1D48C,"\mathbit{k}"
1D48D,"\mathbit{l}"
1D48E,"\mathbit{m}"
1D48F,"\mathbit{n}"
1D490,"\mathbit{o}"
1D491,"\mathbit{p}"
1D492,"\mathbit{q}"
1D493,"\mathbit{r}"
1D494,"\mathbit{s}"
1D495,"\mathbit{t}"
1D496,"\mathbit{u}"
1D497,"\mathbit{v}"
1D498,"\mathbit{w}"
1D499,"\mathbit{x}"
1D49A,"\mathbit{y}"
1D49B,"\mathbit{z}"
1D49C,"\mathscr{A}"
1D49E,"\mathscr{C}"
1D49F,"\mathscr{D}"
1D4A2,"\mathscr{G}"
1D4A5,"\mathscr{J}"
1D4A6,"\mathscr{K}"
1D4A9,"\mathscr{N}"
1D4AA,"\mathscr{O}"
1D4AB,"\mathscr{P}"
1D4AC,"\mathscr{Q}"
1D4AE,"\mathscr{S}"
1D4AF,"\mathscr{T}"
1D4B0,"\mathscr{U}"
1D4B1,"\mathscr{V}"
1D4B2,"\mathscr{W}"
1D4B3,"\mathscr{X}"
1D4B4,"\mathscr{Y}"
1D4B5,"\mathscr{Z}"
1D4B6,"\mathscr{a}"
1D4B7,"\mathscr{b}"
1D4B8,"\mathscr{c}"
1D4B9,"\mathscr{d}"
1D4BB,"\mathscr{f}"
1D4BD,"\mathscr{h}"
1D4BE,"\mathscr{i}"
1D4BF,"\mathscr{j}"
1D4C0,"\mathscr{k}"
1D4C1,"\mathscr{l}"
1D4C2,"\mathscr{m}"
1D4C3,"\mathscr{n}"
1D4C5,"\mathscr{p}"
1D4C6,"\mathscr{q}"
1D4C7,"\mathscr{r}"
1D4C8,"\mathscr{s}"
1D4C9,"\mathscr{t}"
1D4CA,"\mathscr{u}"
1D4CB,"\mathscr{v}"
1D4CC,"\mathscr{w}"
1D4CD,"\mathscr{x}"
1D4CE,"\mathscr{y}"
1D4CF,"\mathscr{z}"
1D4D0,"\mathbcal{A}"
1D4D1,"\mathbcal{B}"
1D4D2,"\mathbcal{C}"
1D4D3,"\mathbcal{D}"
1D4D4,"\mathbcal{E}"
1D4D5,"\mathbcal{F}"
1D4D6,"\mathbcal{G}"
1D4D7,"\mathbcal{H}"
1D4D8,"\mathbcal{I}"
1D4D9,"\mathbcal{J}"
1D4DA,"\mathbcal{K}"
1D4DB,"\mathbcal{L}"
1D4DC,"\mathbcal{M}"
1D4DD,"\mathbcal{N}"
1D4DE,"\mathbcal{O}"
1D4DF,"\mathbcal{P}"
1D4E0,"\mathbcal{Q}"
1D4E1,"\mathbcal{R}"
1D4E2,"\mathbcal{S}"
1D4E3,"\mathbcal{T}"
1D4E4,"\mathbcal{U}"
1D4E5,"\mathbcal{V}"
1D4E6,"\mathbcal{W}"
1D4E7,"\mathbcal{X}"
1D4E8,"\mathbcal{Y}"
1D4E9,"\mathbcal{Z}"
1D4EA,"\mathbcal{a}"
1D4EB,"\mathbcal{b}"
1D4EC,"\mathbcal{c}"
1D4ED,"\mathbcal{d}"
1D4EE,"\mathbcal{e}"
1D4EF,"\mathbcal{f}"
1D4F0,"\mathbcal{g}"
1D4F1,"\mathbcal{h}"
1D4F2,"\mathbcal{i}"
1D4F3,"\mathbcal{j}"
1D4F4,"\mathbcal{k}"
1D4F5,"\mathbcal{l}"
1D4F6,"\mathbcal{m}"
1D4F7,"\mathbcal{n}"
1D4F8,"\mathbcal{o}"
1D4F9,"\mathbcal{p}"
1D4FA,"\mathbcal{q}"
1D4FB,"\mathbcal{r}"
1D4FC,"\mathbcal{s}"
1D4FD,"\mathbcal{t}"
1D4FE,"\mathbcal{u}"
1D4FF,"\mathbcal{v}"
1D500,"\mathbcal{w}"
1D501,"\mathbcal{x}"
1D502,"\mathbcal{y}"
1D503,"\mathbcal{z}"
1D504,"\mathfrak{A}"
1D505,"\mathfrak{B}"
1D507,"\mathfrak{D}"
1D508,"\mathfrak{E}"
1D509,"\mathfrak{F}"
1D50A,"\mathfrak{G}"
1D50D,"\mathfrak{J}"
1D50E,"\mathfrak{K}"
1D50F,"\mathfrak{L}"
1D510,"\mathfrak{M}"
1D511,"\mathfrak{N}"
1D512,"\mathfrak{O}"
1D513,"\mathfrak{P}"
1D514,"\mathfrak{Q}"
1D516,"\mathfrak{S}"
1D517,"\mathfrak{T}"
1D518,"\mathfrak{U}"
1D519,"\mathfrak{V}"
1D51A,"\mathfrak{W}"
1D51B,"\mathfrak{X}"
1D51C,"\mathfrak{Y}"
1D51E,"\mathfrak{a}"
1D51F,"\mathfrak{b}"
1D520,"\mathfrak{c}"
1D521,"\mathfrak{d}"
1D522,"\mathfrak{e}"
1D523,"\mathfrak{f}"
1D524,"\mathfrak{g}"
1D525,"\mathfrak{h}"
1D526,"\mathfrak{i}"
1D527,"\mathfrak{j}"
1D528,"\mathfrak{k}"
1D529,"\mathfrak{l}"
1D52A,"\mathfrak{m}"
1D52B,"\mathfrak{n}"
1D52C,"\mathfrak{o}"
1D52D,"\mathfrak{p}"
1D52E,"\mathfrak{q}"
1D52F,"\mathfrak{r}"
1D530,"\mathfrak{s}"
1D531,"\mathfrak{t}"
1D532,"\mathfrak{u}"
1D533,"\mathfrak{v}"
1D534,"\mathfrak{w}"
1D535,"\mathfrak{x}"
1D536,"\mathfrak{y}"
1D537,"\mathfrak{z}"
1D538,"\mathbb{A}"
1D539,"\mathbb{B}"
1D53B,"\mathbb{D}"
1D53C,"\mathbb{E}"
1D53D,"\mathbb{F}"
1D53E,"\mathbb{G}"
1D540,"\mathbb{I}"
1D541,"\mathbb{J}"
1D542,"\mathbb{K}"
1D543,"\mathbb{L}"
1D544,"\mathbb{M}"
1D546,"\mathbb{O}"
1D54A,"\mathbb{S}"
1D54B,"\mathbb{T}"
1D54C,"\mathbb{U}"
1D54D,"\mathbb{V}"
1D54E,"\mathbb{W}"
1D54F,"\mathbb{X}"
1D550,"\mathbb{Y}"
1D552,"\mathbb{a}"
1D553,"\mathbb{b}"
1D554,"\mathbb{c}"
1D555,"\mathbb{d}"
1D556,"\mathbb{e}"
1D557,"\mathbb{f}"
1D558,"\mathbb{g}"
1D559,"\mathbb{h}"
1D55A,"\mathbb{i}"
1D55B,"\mathbb{j}"
1D55C,"\mathbb{k}"
1D55D,"\mathbb{l}"
1D55E,"\mathbb{m}"
1D55F,"\mathbb{n}"
1D560,"\mathbb{o}"
1D561,"\mathbb{p}"
1D562,"\mathbb{q}"
1D563,"\mathbb{r}"
1D564,"\mathbb{s}"
1D565,"\mathbb{t}"
1D566,"\mathbb{u}"
1D567,"\mathbb{v}"
1D568,"\mathbb{w}"
1D569,"\mathbb{x}"
1D56A,"\mathbb{y}"
1D56B,"\mathbb{z}"
1D56C,"\mathbfrak{A}"
1D56D,"\mathbfrak{B}"
1D56E,"\mathbfrak{C}"
1D56F,"\mathbfrak{D}"
1D570,"\mathbfrak{E}"
1D571,"\mathbfrak{F}"
1D572,"\mathbfrak{G}"
1D573,"\mathbfrak{H}"
1D574,"\mathbfrak{I}"
1D575,"\mathbfrak{J}"
1D576,"\mathbfrak{K}"
1D577,"\mathbfrak{L}"
1D578,"\mathbfrak{M}"
1D579,"\mathbfrak{N}"
1D57A,"\mathbfrak{O}"
1D57B,"\mathbfrak{P}"
1D57C,"\mathbfrak{Q}"
1D57D,"\mathbfrak{R}"
1D57E,"\mathbfrak{S}"
1D57F,"\mathbfrak{T}"
1D580,"\mathbfrak{U}"
1D581,"\mathbfrak{V}"
1D582,"\mathbfrak{W}"
1D583,"\mathbfrak{X}"
1D584,"\mathbfrak{Y}"
1D585,"\mathbfrak{Z}"
1D586,"\mathbfrak{a}"
1D587,"\mathbfrak{b}"
1D588,"\mathbfrak{c}"
1D589,"\mathbfrak{d}"
1D58A,"\mathbfrak{e}"
1D58B,"\mathbfrak{f}"
1D58C,"\mathbfrak{g}"
1D58D,"\mathbfrak{h}"
1D58E,"\mathbfrak{i}"
1D58F,"\mathbfrak{j}"
1D590,"\mathbfrak{k}"
1D591,"\mathbfrak{l}"
1D592,"\mathbfrak{m}"
1D593,"\mathbfrak{n}"
1D594,"\mathbfrak{o}"
1D595,"\mathbfrak{p}"
1D596,"\mathbfrak{q}"
1D597,"\mathbfrak{r}"
1D598,"\mathbfrak{s}"
1D599,"\mathbfrak{t}"
1D59A,"\mathbfrak{u}"
1D59B,"\mathbfrak{v}"
1D59C,"\mathbfrak{w}"
1D59D,"\mathbfrak{x}"
1D59E,"\mathbfrak{y}"
1D59F,"\mathbfrak{z}"
1D5A0,"\mathsf{A}"
1D5A1,"\mathsf{B}"
1D5A2,"\mathsf{C}"
1D5A3,"\mathsf{D}"
1D5A4,"\mathsf{E}"
1D5A5,"\mathsf{F}"
1D5A6,"\mathsf{G}"
1D5A7,"\mathsf{H}"
1D5A8,"\mathsf{I}"
1D5A9,"\mathsf{J}"
1D5AA,"\mathsf{K}"
1D5AB,"\mathsf{L}"
1D5AC,"\mathsf{M}"
1D5AD,"\mathsf{N}"
1D5AE,"\mathsf{O}"
1D5AF,"\mathsf{P}"
1D5B0,"\mathsf{Q}"
1D5B1,"\mathsf{R}"
1D5B2,"\mathsf{S}"
1D5B3,"\mathsf{T}"
1D5B4,"\mathsf{U}"
1D5B5,"\mathsf{V}"
1D5B6,"\mathsf{W}"
1D5B7,"\mathsf{X}"
1D5B8,"\mathsf{Y}"
1D5B9,"\mathsf{Z}"
1D5BA,"\mathsf{a}"
1D5BB,"\mathsf{b}"
1D5BC,"\mathsf{c}"
1D5BD,"\mathsf{d}"
1D5BE,"\mathsf{e}"
1D5BF,"\mathsf{f}"
1D5C0,"\mathsf{g}"
1D5C1,"\mathsf{h}"
1D5C2,"\mathsf{i}"
1D5C3,"\mathsf{j}"
1D5C4,"\mathsf{k}"
1D5C5,"\mathsf{l}"
1D5C6,"\mathsf{m}"
1D5C7,"\mathsf{n}"
1D5C8,"\mathsf{o}"
1D5C9,"\mathsf{p}"
1D5CA,"\mathsf{q}"
1D5CB,"\mathsf{r}"
1D5CC,"\mathsf{s}"
1D5CD,"\mathsf{t}"
1D5CE,"\mathsf{u}"
1D5CF,"\mathsf{v}"
1D5D0,"\mathsf{w}"
1D5D1,"\mathsf{x}"
1D5D2,"\mathsf{y}"
1D5D3,"\mathsf{z}"
1D5D4,"\mathsfbf{A}"
1D5D5,"\mathsfbf{B}"
1D5D6,"\mathsfbf{C}"
1D5D7,"\mathsfbf{D}"
1D5D8,"\mathsfbf{E}"
1D5D9,"\mathsfbf{F}"
1D5DA,"\mathsfbf{G}"
1D5DB,"\mathsfbf{H}"
1D5DC,"\mathsfbf{I}"
1D5DD,"\mathsfbf{J}"
1D5DE,"\mathsfbf{K}"
1D5DF,"\mathsfbf{L}"
1D5E0,"\mathsfbf{M}"
1D5E1,"\mathsfbf{N}"
1D5E2,"\mathsfbf{O}"
1D5E3,"\mathsfbf{P}"
1D5E4,"\mathsfbf{Q}"
1D5E5,"\mathsfbf{R}"
1D5E6,"\mathsfbf{S}"
1D5E7,"\mathsfbf{T}"
1D5E8,"\mathsfbf{U}"
1D5E9,"\mathsfbf{V}"
1D5EA,"\mathsfbf{W}"
1D5EB,"\mathsfbf{X}"
1D5EC,"\mathsfbf{Y}"
1D5ED,"\mathsfbf{Z}"
1D5EE,"\mathsfbf{a}"
1D5EF,"\mathsfbf{b}"
1D5F0,"\mathsfbf{c}"
1D5F1,"\mathsfbf{d}"
1D5F2,"\mathsfbf{e}"
1D5F3,"\mathsfbf{f}"
1D5F4,"\mathsfbf{g}"
1D5F5,"\mathsfbf{h}"
1D5F6,"\mathsfbf{i}"
1D5F7,"\mathsfbf{j}"
1D5F8,"\mathsfbf{k}"
1D5F9,"\mathsfbf{l}"
1D5FA,"\mathsfbf{m}"
1D5FB,"\mathsfbf{n}"
1D5FC,"\mathsfbf{o}"
1D5FD,"\mathsfbf{p}"
1D5FE,"\mathsfbf{q}"
1D5FF,"\mathsfbf{r}"
1D600,"\mathsfbf{s}"
1D601,"\mathsfbf{t}"
1D602,"\mathsfbf{u}"
1D603,"\mathsfbf{v}"
